subject,title,url,difficulty,type,description
Computer Science,Computer Science Topic 44,https://example.com/computer_science_topic_44,medium,quiz,"This is an educational resource on Computer Science, covering topic 44."
Science,Science Topic 45,https://example.com/science_topic_45,hard,quiz,"This is an educational resource on Science, covering topic 45."
Math,Math Topic 46,https://example.com/math_topic_46,medium,article,"This is an educational resource on Math, covering topic 46."
Chemistry,Chemistry Topic 47,https://example.com/chemistry_topic_47,easy,video,"This is an educational resource on Chemistry, covering topic 47."
Geography,Geography Topic 48,https://example.com/geography_topic_48,easy,quiz,"This is an educational resource on Geography, covering topic 48."
English,English Topic 49,https://example.com/english_topic_49,easy,video,"This is an educational resource on English, covering topic 49."
Math,Math Topic 50,https://example.com/math_topic_50,easy,video,"This is an educational resource on Math, covering topic 50."
Math,Math Topic 51,https://example.com/math_topic_51,medium,article,"This is an educational resource on Math, covering topic 51."
English,English Topic 52,https://example.com/english_topic_52,hard,video,"This is an educational resource on English, covering topic 52."
History,History Topic 53,https://example.com/history_topic_53,easy,quiz,"This is an educational resource on History, covering topic 53."
Geography,Geography Topic 54,https://example.com/geography_topic_54,hard,article,"This is an educational resource on Geography, covering topic 54."
History,History Topic 55,https://example.com/history_topic_55,hard,video,"This is an educational resource on History, covering topic 55."
Chemistry,Chemistry Topic 56,https://example.com/chemistry_topic_56,easy,article,"This is an educational resource on Chemistry, covering topic 56."
Science,Science Topic 57,https://example.com/science_topic_57,medium,video,"This is an educational resource on Science, covering topic 57."
Computer Science,Computer Science Topic 58,https://example.com/computer_science_topic_58,hard,article,"This is an educational resource on Computer Science, covering topic 58."
Math,Math Topic 59,https://example.com/math_topic_59,hard,quiz,"This is an educational resource on Math, covering topic 59."
Chemistry,Chemistry Topic 60,https://example.com/chemistry_topic_60,medium,article,"This is an educational resource on Chemistry, covering topic 60."
Science,Science Topic 61,https://example.com/science_topic_61,medium,video,"This is an educational resource on Science, covering topic 61."
Science,Science Topic 62,https://example.com/science_topic_62,easy,quiz,"This is an educational resource on Science, covering topic 62."
Chemistry,Chemistry Topic 63,https://example.com/chemistry_topic_63,medium,video,"This is an educational resource on Chemistry, covering topic 63."
Geography,Geography Topic 64,https://example.com/geography_topic_64,medium,video,"This is an educational resource on Geography, covering topic 64."
Chemistry,Chemistry Topic 65,https://example.com/chemistry_topic_65,hard,video,"This is an educational resource on Chemistry, covering topic 65."
English,English Topic 66,https://example.com/english_topic_66,medium,quiz,"This is an educational resource on English, covering topic 66."
Math,Math Topic 67,https://example.com/math_topic_67,medium,video,"This is an educational resource on Math, covering topic 67."
Math,Math Topic 68,https://example.com/math_topic_68,hard,article,"This is an educational resource on Math, covering topic 68."
Science,Science Topic 69,https://example.com/science_topic_69,hard,video,"This is an educational resource on Science, covering topic 69."
Chemistry,Chemistry Topic 70,https://example.com/chemistry_topic_70,medium,article,"This is an educational resource on Chemistry, covering topic 70."
Geography,Geography Topic 71,https://example.com/geography_topic_71,hard,video,"This is an educational resource on Geography, covering topic 71."
Geography,Geography Topic 72,https://example.com/geography_topic_72,easy,quiz,"This is an educational resource on Geography, covering topic 72."
English,English Topic 73,https://example.com/english_topic_73,hard,quiz,"This is an educational resource on English, covering topic 73."
Math,Math Topic 74,https://example.com/math_topic_74,easy,article,"This is an educational resource on Math, covering topic 74."
Biology,Biology Topic 75,https://example.com/biology_topic_75,medium,video,"This is an educational resource on Biology, covering topic 75."
Math,Math Topic 76,https://example.com/math_topic_76,medium,article,"This is an educational resource on Math, covering topic 76."
Math,Math Topic 77,https://example.com/math_topic_77,medium,article,"This is an educational resource on Math, covering topic 77."
Biology,Biology Topic 78,https://example.com/biology_topic_78,easy,quiz,"This is an educational resource on Biology, covering topic 78."
Chemistry,Chemistry Topic 79,https://example.com/chemistry_topic_79,medium,video,"This is an educational resource on Chemistry, covering topic 79."
Biology,Biology Topic 80,https://example.com/biology_topic_80,medium,quiz,"This is an educational resource on Biology, covering topic 80."
Chemistry,Chemistry Topic 81,https://example.com/chemistry_topic_81,hard,video,"This is an educational resource on Chemistry, covering topic 81."
Chemistry,Chemistry Topic 82,https://example.com/chemistry_topic_82,hard,article,"This is an educational resource on Chemistry, covering topic 82."
Science,Science Topic 83,https://example.com/science_topic_83,hard,article,"This is an educational resource on Science, covering topic 83."
Math,Math Topic 84,https://example.com/math_topic_84,hard,quiz,"This is an educational resource on Math, covering topic 84."
Computer Science,Computer Science Topic 85,https://example.com/computer_science_topic_85,medium,quiz,"This is an educational resource on Computer Science, covering topic 85."
Chemistry,Chemistry Topic 86,https://example.com/chemistry_topic_86,hard,video,"This is an educational resource on Chemistry, covering topic 86."
Chemistry,Chemistry Topic 87,https://example.com/chemistry_topic_87,medium,article,"This is an educational resource on Chemistry, covering topic 87."
Math,Math Topic 88,https://example.com/math_topic_88,easy,video,"This is an educational resource on Math, covering topic 88."
Geography,Geography Topic 89,https://example.com/geography_topic_89,easy,quiz,"This is an educational resource on Geography, covering topic 89."
English,English Topic 90,https://example.com/english_topic_90,hard,article,"This is an educational resource on English, covering topic 90."
English,English Topic 91,https://example.com/english_topic_91,medium,video,"This is an educational resource on English, covering topic 91."
History,History Topic 92,https://example.com/history_topic_92,hard,quiz,"This is an educational resource on History, covering topic 92."
Chemistry,Chemistry Topic 93,https://example.com/chemistry_topic_93,hard,video,"This is an educational resource on Chemistry, covering topic 93."
Computer Science,Computer Science Topic 94,https://example.com/computer_science_topic_94,hard,quiz,"This is an educational resource on Computer Science, covering topic 94."
History,History Topic 95,https://example.com/history_topic_95,easy,article,"This is an educational resource on History, covering topic 95."
Geography,Geography Topic 96,https://example.com/geography_topic_96,medium,video,"This is an educational resource on Geography, covering topic 96."
History,History Topic 97,https://example.com/history_topic_97,medium,article,"This is an educational resource on History, covering topic 97."
Computer Science,Computer Science Topic 98,https://example.com/computer_science_topic_98,hard,quiz,"This is an educational resource on Computer Science, covering topic 98."
Biology,Biology Topic 99,https://example.com/biology_topic_99,easy,article,"This is an educational resource on Biology, covering topic 99."
Chemistry,Chemistry Topic 100,https://example.com/chemistry_topic_100,hard,quiz,"This is an educational resource on Chemistry, covering topic 100."
